Product Name,Supported_apps,sound_system,OS,Resolution,Price,Rating
iFFALCON 100.3 cm (40 inch) Full HD LED Smart Android TV with Google assistant search and Dolby Audio,Netflix|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹15,999",4.3
Thomson OATHPRO Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,Netflix|Prime Video|Disney+Hotstar|Youtube,30 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹34,999",4.4
Infinix 80 cm (32 inch) HD Ready LED Smart Linux TV,Prime Video|Youtube,20 W Speaker Output,Operating System: Linux,HD Ready 1366 x 768 Pixels,"₹8,999",4.3
OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹13,499",4.3
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,Netflix|Prime Video|Disney+Hotstar|Youtube,10 W Speaker Output,Operating System: WebOS,HD Ready 1366 x 768 Pixels,"₹14,990",4.4
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹13,999",4.4
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹14,999",4.3
iFFALCON F52 108 cm (43 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹19,999",4.8
LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,"₹30,990",4.5
OnePlus Y1 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹22,999",4.3
Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹29,999",4.3
iFFALCON F52 79.97 cm (32 inch) HD Ready LED Smart Android TV,Netflix|Disney+Hotstar|Youtube,16 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹9,999",4.2
Sansui Neo 80 cm (32 inch) HD Ready LED Smart Linux TV with Bezel-less Design and Dolby Audio (Midnigh...,Youtube,20 W Speaker Output,Operating System: Linux,HD Ready 1366 x 768 Pixels,"₹12,999",4.3
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,Netflix|Prime Video|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹23,999",4.3
OnePlus U1S 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,Netflix|Prime Video|Disney+Hotstar|Youtube,30 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹35,999",4.4
Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Netflix|Prime Video|Disney+Hotstar|Youtube,40 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹36,999",4.4
realme 80 cm (32 inch) HD Ready LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,24 W Speaker Output,Operating System: Android,HD Ready 1366 x 768 Pixels,"₹13,499",4.3
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|Youtube,30 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹29,999",4.3
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,Netflix|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,"₹30,990",4.3
Thomson OATHPRO Max 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Netflix|Prime Video|Disney+Hotstar|Youtube,40 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹29,999",4.4
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,Netflix|Disney+Hotstar|Youtube,20 W Speaker Output,Operating System: Tizen,HD Ready 1366 x 768 Pixels,"₹14,990",4.4
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),Netflix|Prime Video|Disney+Hotstar|Youtube,24 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹21,999",4.4
realme 108 cm (43 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|Youtube,24 W Speaker Output,Operating System: Android,Full HD 1920 x 1080 Pixels,"₹20,899",4.3
KODAK CA PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,Netflix|Prime Video|Disney+Hotstar|Youtube,40 W Speaker Output,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,"₹29,499",4.5
